[2024-09-28T11:04:07.934667+02:00] app.ERROR: ERROR JSON file is required [] []
[2024-09-28T11:05:22.031920+02:00] app.ERROR: ERROR Class "Fpdf\Fpdf" not found [] []
[2024-09-28T11:05:45.771529+02:00] app.ERROR: ERROR Class "Fpdf\Fpdf" not found [] []
[2024-09-28T11:06:12.689442+02:00] app.ERROR: ERROR Class "Fpdf\Fpdf" not found [] []
[2024-09-28T11:16:03.215630+02:00] app.ERROR: ERROR Unclosed '{' on line 10 [] []
[2024-09-28T11:40:34.875188+02:00] app.ERROR: ERROR Class "FPDF" not found [] []
[2024-09-28T11:41:30.200298+02:00] app.ERROR: ERROR Class "FPDF" not found [] []
[2024-09-28T11:42:55.398385+02:00] app.ERROR: ERROR Class "FPDF" not found [] []
[2024-09-28T11:42:55.951157+02:00] app.ERROR: ERROR Class "FPDF" not found [] []
[2024-09-28T11:42:56.416268+02:00] app.ERROR: ERROR Class "FPDF" not found [] []
[2024-09-28T11:43:09.962547+02:00] app.ERROR: ERROR Class "FPDF" not found [] []
[2024-09-28T11:46:23.595715+02:00] app.ERROR: ERROR Class "FPDF" not found [] []
[2024-09-28T11:46:51.182074+02:00] app.ERROR: ERROR Class "FPDF" not found [] []
[2024-09-28T11:46:51.923346+02:00] app.ERROR: ERROR Class "FPDF" not found [] []
[2024-09-28T12:06:46.630587+02:00] app.ERROR: ERROR Class "Borj\Auf\Outputs\TextFormat" not found [] []
[2024-09-28T12:33:21.398753+02:00] app.ERROR: ERROR Class "Borj\Auf\Outputs\HTMLFormat" not found [] []
[2024-09-28T12:33:41.920469+02:00] app.ERROR: ERROR Class "Borj\Auf\Outputs\HTMLFormat" not found [] []
